,YYYYMMDD,Kp[8],,,,,,,,Sum,Ap[8],,,,,,,,Ap
1830,20190105,5,4,2+,2+,2-,2+,2,3,23-,48,27,9,9,6.0,9.0,7.0,15.0,16.0
1831,20190106,2-,3-,2+,2-,2,3-,3,2,18,6,12,9,6,7.0,12.0,15.0,7.0,9.0
1832,20190107,2-,2+,2-,2,2-,0+,0+,2,12,6,9,6,7,6.0,2.0,2.0,7.0,6.0
1833,20190108,2+,2-,1+,2+,1+,1-,1+,0+,11+,9,6,5,9,5.0,3.0,5.0,2.0,6.0
1834,20190109,2-,1-,1,1+,1-,0+,1,1,8-,6,3,4,5,3.0,2.0,4.0,4.0,4.0
1835,20190110,1,1-,1,1,1+,0+,0,1-,6,4,3,4,4,5.0,2.0,0.0,3.0,3.0
1836,20190111,1+,2-,3+,1+,1+,0+,1+,0+,11,5,6,18,5,5.0,2.0,5.0,2.0,6.0
1837,20190112,1-,0+,0,0,1,1-,0+,0+,3+,3,2,0,0,4.0,3.0,2.0,2.0,2.0
1838,20190113,0+,1,1-,1-,0,0,1-,1,4+,2,4,3,3,0.0,0.0,3.0,4.0,2.0
1839,20190114,2,2-,2,2,1-,2-,1,3-,14-,7,6,7,7,3.0,6.0,4.0,12.0,6.0
1840,20190115,3-,1-,1+,1-,1-,1,1+,1,9+,12,3,5,3,3.0,4.0,5.0,4.0,5.0
1841,20190116,0+,2-,2-,0+,0+,1,2,3-,10,2,6,6,2,2.0,4.0,7.0,12.0,5.0
1842,20190117,3-,2,1-,1+,1,2,2,2-,13+,12,7,3,5,4.0,7.0,7.0,6.0,6.0
1843,20190118,2-,1+,1-,2,1+,2-,1,1-,10+,6,5,3,7,5.0,6.0,4.0,3.0,5.0
1844,20190119,0+,0,1-,2-,0,1,1,3-,7+,2,0,3,6,0.0,4.0,4.0,12.0,4.0
1845,20190120,2-,1,1-,0+,1-,1-,1-,1-,6+,6,4,3,2,3.0,3.0,3.0,3.0,3.0
1846,20190121,1,0+,0,0+,0+,1-,1+,2-,6-,4,2,0,2,2.0,3.0,5.0,6.0,3.0
1847,20190122,0,0+,0,0,0+,1,2-,2,5+,0,2,0,0,2.0,4.0,6.0,7.0,3.0
1848,20190123,3-,2+,2,3-,3,2+,2+,4,21+,12,9,7,12,15.0,9.0,9.0,27.0,12.0
1849,20190124,4-,3+,4-,1+,1+,3-,4-,4+,24,22,18,22,5,5.0,12.0,22.0,32.0,17.0
1850,20190125,2,3-,3+,3-,3+,3,2+,2-,21,7,12,18,12,18.0,15.0,9.0,6.0,12.0
1851,20190126,2-,2-,1+,1,3,3-,1-,1-,13-,6,6,5,4,15.0,12.0,3.0,3.0,7.0
1852,20190127,2,1+,1+,1,0+,0+,1,1-,8,7,5,5,4,2.0,2.0,4.0,3.0,4.0
1853,20190128,1-,0,0+,0,0,0+,0+,0,2-,3,0,2,0,0.0,2.0,2.0,0.0,1.0
1854,20190129,2-,0,0,0+,1-,0+,0,0,3,6,0,0,2,3.0,2.0,0.0,0.0,2.0
1855,20190130,0,0,0,0,0,0,1,1,2,0,0,0,0,0.0,0.0,4.0,4.0,1.0
1856,20190131,1,0+,1,1,3-,3+,3,5+,18-,4,2,4,4,12.0,18.0,15.0,56.0,14.0
1857,20190201,2+,3+,3+,2+,2+,4-,3,4-,24,9,18,18,9,9.0,22.0,15.0,22.0,15.0
1858,20190202,4-,4,3,2+,2,3+,3,3,24+,22,27,15,9,7.0,18.0,15.0,15.0,16.0
1859,20190203,3+,3,3-,1,1+,2+,2,2+,18,18,15,12,4,5.0,9.0,7.0,9.0,10.0
1860,20190204,1-,0,1-,0+,1+,2-,3,2+,10,3,0,3,2,5.0,6.0,15.0,9.0,5.0
1861,20190205,3,1+,1-,0+,0+,1,1,0+,8,15,5,3,2,2.0,4.0,4.0,2.0,5.0
1862,20190206,1,2,2,3-,3-,1+,2+,2+,16+,4,7,7,12,12.0,5.0,9.0,9.0,8.0
1863,20190207,2-,1+,1,0,0+,1-,1,2,8,6,5,4,0,2.0,3.0,4.0,7.0,4.0
1864,20190208,2,2-,2-,1+,1-,1+,2+,4-,15-,7,6,6,5,3.0,5.0,9.0,22.0,8.0
1865,20190209,3-,2,2,2+,2-,2+,3,1,17,12,7,7,9,6.0,9.0,15.0,4.0,9.0
1866,20190210,2+,3-,1-,1+,0+,0+,1,1,10-,9,12,3,5,2.0,2.0,4.0,4.0,5.0
1867,20190211,1,1+,2-,1-,3,3,2,2+,15,4,5,6,3,15.0,15.0,7.0,9.0,8.0
1868,20190212,2,2+,0+,0+,1,1-,0,2+,9,7,9,2,2,4.0,3.0,0.0,9.0,4.0
1869,20190213,2-,3-,3-,4-,4-,3,1+,2,21-,6,12,12,22,22.0,15.0,5.0,7.0,13.0
1870,20190214,3-,3+,2+,3,0+,1-,2+,2-,16+,12,18,9,15,2.0,3.0,9.0,6.0,9.0
1871,20190215,2+,1,1-,0+,1-,0+,1-,0,6,9,4,3,2,3.0,2.0,3.0,0.0,3.0
1872,20190216,0,0,1,0,1,2,1+,1-,6,0,0,4,0,4.0,7.0,5.0,3.0,3.0
1873,20190217,0,0,1-,0+,0,0+,2,2+,6-,0,0,3,2,0.0,2.0,7.0,9.0,3.0
1874,20190218,3,3,0+,1+,1+,1,0+,0+,11-,15,15,2,5,5.0,4.0,2.0,2.0,6.0
1875,20190219,0+,1,1,0+,0,0+,1-,0+,4,2,4,4,2,0.0,2.0,3.0,2.0,2.0
1876,20190220,0+,0,0+,0,0+,1,1+,2-,5,2,0,2,0,2.0,4.0,5.0,6.0,3.0
1877,20190221,3-,2,4-,2-,3-,2-,1,3,18+,12,7,22,6,12.0,6.0,4.0,15.0,10.0
1878,20190222,2,0+,1,1-,0+,0,1-,1+,6+,7,2,4,3,2.0,0.0,3.0,5.0,3.0
1879,20190223,0+,0,0+,0,0,1,1,0,3-,2,0,2,0,0.0,4.0,4.0,0.0,2.0
1880,20190224,0,0,1-,1-,1,0,0,0,2+,0,0,3,3,4.0,0.0,0.0,0.0,1.0
1881,20190225,0,0,1-,0+,0,0+,0,1-,2,0,0,3,2,0.0,2.0,0.0,3.0,1.0
1882,20190226,1-,0,0,1-,0+,1,0,1-,3+,3,0,0,3,2.0,4.0,0.0,3.0,2.0
1883,20190227,1,0,1-,1,3,3+,3,4,16,4,0,3,4,15.0,18.0,15.0,27.0,11.0
1884,20190228,4+,3+,2,3+,4+,4-,5-,3,29-,32,18,7,18,32.0,22.0,39.0,15.0,23.0
1885,20190301,4+,4,3,4-,3-,4-,4,4,29+,32,27,15,22,12.0,22.0,27.0,27.0,23.0
1886,20190302,4,3+,3,2,2,3,2,2-,21,27,18,15,7,7.0,15.0,7.0,6.0,13.0
1887,20190303,2+,3-,1-,1-,1+,1-,1-,2,11,9,12,3,3,5.0,3.0,3.0,7.0,6.0
1888,20190304,1+,2+,1+,2,2,1,0+,2,12+,5,9,5,7,7.0,4.0,2.0,7.0,6.0
1889,20190305,2+,1,0+,1-,1,1-,1-,2,9-,9,4,2,3,4.0,3.0,3.0,7.0,4.0
1890,20190306,1,2-,3,1+,2,1-,2,2-,13+,4,6,15,5,7.0,3.0,7.0,6.0,7.0
1891,20190307,0+,0+,0,0+,2+,3-,3-,3-,11+,2,2,0,2,9.0,12.0,12.0,12.0,6.0
1892,20190308,3-,1-,1,2-,0,1-,0+,1+,8+,12,3,4,6,0.0,3.0,2.0,5.0,4.0
1893,20190309,0+,0,1-,1,2+,1,1,2+,9-,2,0,3,4,9.0,4.0,4.0,9.0,4.0
1894,20190310,2+,2,1-,0+,0+,0+,0,0+,6+,9,7,3,2,2.0,2.0,0.0,2.0,3.0
1895,20190311,0,0,1-,1+,1-,0,0+,1-,4-,0,0,3,5,3.0,0.0,2.0,3.0,2.0
1896,20190312,2-,1+,3-,2,1+,1-,1+,1+,12+,6,5,12,7,5.0,3.0,5.0,5.0,6.0
1897,20190313,0+,2-,1+,0+,1-,1-,1+,0+,7-,2,6,5,2,3.0,3.0,5.0,2.0,4.0
1898,20190314,0,1,1+,1-,3-,1+,3-,3,13-,0,4,5,3,12.0,5.0,12.0,15.0,7.0
1899,20190315,2+,3-,2,1-,1-,1,3-,1,13,9,12,7,3,3.0,4.0,12.0,4.0,7.0
1900,20190316,1-,1+,2-,3,2+,3-,2+,5-,19-,3,5,6,15,9.0,12.0,9.0,39.0,12.0
1901,20190317,5-,4,4,3-,2-,2,1-,0+,20,39,27,27,12,6.0,7.0,3.0,2.0,15.0
1902,20190318,0+,1-,0,0+,1-,1-,1-,0+,4-,2,3,0,2,3.0,3.0,3.0,2.0,2.0
1903,20190319,1-,1-,1,2-,2,2-,3-,2+,13-,3,3,4,6,7.0,6.0,12.0,9.0,6.0
1904,20190320,1-,2-,1+,1+,2-,2-,1-,1,10,3,6,5,5,6.0,6.0,3.0,4.0,5.0
1905,20190321,0+,1,0+,0+,0+,0,0,0,2+,2,4,2,2,2.0,0.0,0.0,0.0,2.0
1906,20190322,0,0,1-,0,0+,0+,0,0,1+,0,0,3,0,2.0,2.0,0.0,0.0,1.0
1907,20190323,0,0,0,1,0+,0,0,0,1+,0,0,0,4,2.0,0.0,0.0,0.0,1.0
1908,20190324,0,0,0+,0,0,0,0,2,2+,0,0,2,0,0.0,0.0,0.0,7.0,1.0
1909,20190325,2,1,1-,0+,1,1+,0+,2+,9,7,4,3,2,4.0,5.0,2.0,9.0,4.0
1910,20190326,2+,2+,0+,0+,1-,0+,0+,2-,8+,9,9,2,2,3.0,2.0,2.0,6.0,4.0
1911,20190327,2,2-,3-,2,2-,1-,2,1-,13+,7,6,12,7,6.0,3.0,7.0,3.0,6.0
1912,20190328,1-,2+,2+,2,3,2,2,3,17+,3,9,9,7,15.0,7.0,7.0,15.0,9.0
1913,20190329,2,2,2,2,1,2-,2,1+,14,7,7,7,7,4.0,6.0,7.0,5.0,6.0
1914,20190330,2,1+,0+,0+,1-,0+,0+,0+,6-,7,5,2,2,3.0,2.0,2.0,2.0,3.0
1915,20190331,2+,4-,3-,1,2,2-,2+,1-,16+,9,22,12,4,7.0,6.0,9.0,3.0,9.0
1916,20190401,2+,2-,2,3-,2,2,1-,0,13+,9,6,7,12,7.0,7.0,3.0,0.0,6.0
1917,20190402,1-,0+,1-,0+,1-,1-,3+,3,10-,3,2,3,2,3.0,3.0,18.0,15.0,6.0
1918,20190403,2+,3+,3-,2-,2+,2-,2,3-,19-,9,18,12,6,9.0,6.0,7.0,12.0,10.0
1919,20190404,3-,2-,1+,2+,3-,4-,2+,1,18-,12,6,5,9,12.0,22.0,9.0,4.0,10.0
1920,20190405,3,3+,3-,2-,3-,2+,3-,3-,21,15,18,12,6,12.0,9.0,12.0,12.0,12.0
1921,20190406,2+,3,2-,1+,1-,1,2,1+,13+,9,15,6,5,3.0,4.0,7.0,5.0,7.0
1922,20190407,0+,2-,0+,1,2-,1-,1+,2,9,2,6,2,4,6.0,3.0,5.0,7.0,4.0
1923,20190408,3-,3+,2+,2-,3,3,2,2+,20+,12,18,9,6,15.0,15.0,7.0,9.0,11.0
1924,20190409,3+,2,2+,2,2-,2+,2,2,18-,18,7,9,7,6.0,9.0,7.0,7.0,9.0
1925,20190410,4-,4,3-,1,2,3+,3,1+,21,22,27,12,4,7.0,18.0,15.0,5.0,14.0
1926,20190411,1+,3-,2-,2,2,2,1-,1-,13,5,12,6,7,7.0,7.0,3.0,3.0,6.0
1927,20190412,3,2-,1+,1,2-,2-,2-,2+,14+,15,6,5,4,6.0,6.0,6.0,9.0,7.0
1928,20190413,3,3,2-,0+,1,1-,2,1+,13,15,15,6,2,4.0,3.0,7.0,5.0,7.0
1929,20190414,1-,2-,2-,0+,1-,1-,0+,1+,7+,3,6,6,2,3.0,3.0,2.0,5.0,4.0
1930,20190415,1+,1+,2+,2+,1+,1-,2+,2,14-,5,5,9,9,5.0,3.0,9.0,7.0,6.0
1931,20190416,2,2-,2+,1+,1+,1-,1+,1-,11+,7,6,9,5,5.0,3.0,5.0,3.0,5.0
1932,20190417,1-,1-,0,0+,0,1-,2-,1+,5+,3,3,0,2,0.0,3.0,6.0,5.0,3.0
1933,20190418,0,0,0,0,1,1-,1-,1-,3,0,0,0,0,4.0,3.0,3.0,3.0,2.0
1934,20190419,0,0+,1+,1+,1+,1,2-,1,8,0,2,5,5,5.0,4.0,6.0,4.0,4.0
1935,20190420,1,1-,1-,1-,1-,1-,1+,1,7-,4,3,3,3,3.0,3.0,5.0,4.0,4.0
1936,20190421,2-,1,1-,1-,1-,0+,0+,0+,6-,6,4,3,3,3.0,2.0,2.0,2.0,3.0
1937,20190422,0,0,1,0+,1,1+,1,0+,5,0,0,4,2,4.0,5.0,4.0,2.0,3.0
1938,20190423,1,0+,0+,1-,1-,2+,3+,3+,12,4,2,2,3,3.0,9.0,18.0,18.0,7.0
1939,20190424,3,1+,0+,2-,2+,2-,1-,1+,12+,15,5,2,6,9.0,6.0,3.0,5.0,6.0
1940,20190425,1,2-,2-,2-,2-,0+,1,0+,9+,4,6,6,6,6.0,2.0,4.0,2.0,4.0
1941,20190426,1-,0,0+,1-,1-,1+,1+,2-,7-,3,0,2,3,3.0,5.0,5.0,6.0,3.0
1942,20190427,1,0+,2,2-,1+,1,2,2,11+,4,2,7,6,5.0,4.0,7.0,7.0,5.0
1943,20190428,1-,0+,1,0+,1-,1+,2,2,8+,3,2,4,2,3.0,5.0,7.0,7.0,4.0
1944,20190429,2-,1,0,1,1+,2,1-,1,9-,6,4,0,4,5.0,7.0,3.0,4.0,4.0
1945,20190430,2-,1,0,1-,1,1,2-,1+,8+,6,4,0,3,4.0,4.0,6.0,5.0,4.0
1946,20190501,0+,2-,1+,1+,2,3-,4,4-,17,2,6,5,5,7.0,12.0,27.0,22.0,11.0
1947,20190502,3+,3+,2+,2+,2,2+,3-,1,19+,18,18,9,9,7.0,9.0,12.0,4.0,11.0
1948,20190503,2,2,2-,1,2-,1+,2,3-,14+,7,7,6,4,6.0,5.0,7.0,12.0,7.0
1949,20190504,1-,2,2,3-,3-,3-,2+,1+,16+,3,7,7,12,12.0,12.0,9.0,5.0,8.0
1950,20190505,1+,1,0,0+,0+,1,1-,1-,5+,5,4,0,2,2.0,4.0,3.0,3.0,3.0
1951,20190506,1,0+,0+,1,2-,1+,2-,1+,9-,4,2,2,4,6.0,5.0,6.0,5.0,4.0
1952,20190507,1+,2,1-,0+,1,1+,2-,1-,9,5,7,3,2,4.0,5.0,6.0,3.0,4.0
1953,20190508,1-,0+,0,0,0,0+,0+,1,3-,3,2,0,0,0.0,2.0,2.0,4.0,2.0
1954,20190509,1+,1+,2+,2-,1+,1,1,2+,12+,5,5,9,6,5.0,4.0,4.0,9.0,6.0
1955,20190510,1+,2-,1-,1-,1,2,3-,3,13,5,6,3,3,4.0,7.0,12.0,15.0,7.0
1956,20190511,5,4-,4+,4,4,2+,2+,4-,29+,48,22,32,27,27.0,9.0,9.0,22.0,24.0
1957,20190512,2-,1-,1,0+,0,1,1+,1+,7+,6,3,4,2,0.0,4.0,5.0,5.0,4.0
1958,20190513,1-,0+,1,2-,1,3-,2-,2,11,3,2,4,6,4.0,12.0,6.0,7.0,6.0
1959,20190514,3+,6-,6+,3+,2,4-,4-,1+,29+,18,67,94,18,7.0,22.0,22.0,5.0,32.0
1960,20190515,1-,2-,1-,0+,2-,2+,2+,1-,10+,3,6,3,2,6.0,9.0,9.0,3.0,5.0
1961,20190516,1,2-,1+,1,1+,1,3-,3,13,4,6,5,4,5.0,4.0,12.0,15.0,7.0
1962,20190517,2+,1-,1,0+,1+,1,0+,1-,8-,9,3,4,2,5.0,4.0,2.0,3.0,4.0
1963,20190518,1-,1-,2-,2,1,0+,0+,0+,7,3,3,6,7,4.0,2.0,2.0,2.0,4.0
1964,20190519,0,1-,1-,0+,0+,0+,0+,2-,4+,0,3,3,2,2.0,2.0,2.0,6.0,2.0
1965,20190520,3+,2-,1,1-,1,1,0+,0+,9+,18,6,4,3,4.0,4.0,2.0,2.0,5.0
1966,20190521,1-,1,0+,1-,2-,0+,0+,0+,5+,3,4,2,3,6.0,2.0,2.0,2.0,3.0
1967,20190522,0+,1+,2-,1,1-,0+,1,1,7+,2,5,6,4,3.0,2.0,4.0,4.0,4.0
1968,20190523,1-,1,0+,1+,1+,1+,1,2-,9-,3,4,2,5,5.0,5.0,4.0,6.0,4.0
1969,20190524,1,2-,0+,0+,1-,1+,2-,1+,8+,4,6,2,2,3.0,5.0,6.0,5.0,4.0
1970,20190525,0+,0+,0+,0+,0+,2-,1+,1,6-,2,2,2,2,2.0,6.0,5.0,4.0,3.0
1971,20190526,1-,1-,0+,0+,0+,1-,0+,3,6+,3,3,2,2,2.0,3.0,2.0,15.0,4.0
1972,20190527,2+,2+,3+,1+,1,2+,2,1-,15+,9,9,18,5,4.0,9.0,7.0,3.0,8.0
1973,20190528,1-,1,1,1+,3-,1,2+,3,13,3,4,4,5,12.0,4.0,9.0,15.0,7.0
1974,20190529,3+,4-,3+,2+,2,2-,2+,3,22-,18,22,18,9,7.0,6.0,9.0,15.0,13.0
1975,20190530,3,2,1+,2-,1+,1+,2+,2,15,15,7,5,6,5.0,5.0,9.0,7.0,7.0
1976,20190531,2-,1+,1+,1-,0+,0+,1-,0+,7-,6,5,5,3,2.0,2.0,3.0,2.0,4.0
1977,20190601,1-,0+,1-,1-,0+,0+,1,1-,5-,3,2,3,3,2.0,2.0,4.0,3.0,3.0
1978,20190602,2,0+,0+,0+,0+,0+,0+,1,5,7,2,2,2,2.0,2.0,2.0,4.0,3.0
1979,20190603,0+,0,0+,1+,1+,1+,1-,1-,6,2,0,2,5,5.0,5.0,3.0,3.0,3.0
1980,20190604,1+,1+,1+,1,2-,2+,2+,2,13+,5,5,5,4,6.0,9.0,9.0,7.0,6.0
1981,20190605,2+,1-,1-,0+,0+,1-,1,1-,7-,9,3,3,2,2.0,3.0,4.0,3.0,4.0
1982,20190606,1-,1-,1-,0+,0+,0,0+,0,3,3,3,3,2,2.0,0.0,2.0,0.0,2.0
1983,20190607,0+,0+,1,1-,1+,1+,1,1-,7-,2,2,4,3,5.0,5.0,4.0,3.0,4.0
1984,20190608,1-,1-,1-,2-,3+,5,5+,4-,21,3,3,3,6,18.0,48.0,56.0,22.0,20.0
1985,20190609,3,2-,1+,1,1,1,1,1+,11+,15,6,5,4,4.0,4.0,4.0,5.0,6.0
1986,20190610,0+,0+,0,0+,1-,1-,1-,1-,4-,2,2,0,2,3.0,3.0,3.0,3.0,2.0
1987,20190611,1-,1-,0+,0+,0+,0+,0+,0+,3+,3,3,2,2,2.0,2.0,2.0,2.0,2.0
1988,20190612,1,1-,1-,0+,1+,1-,0+,0+,5+,4,3,3,2,5.0,3.0,2.0,2.0,3.0
1989,20190613,1+,2-,2,1+,2+,2-,2-,4,16,5,6,7,5,9.0,6.0,6.0,27.0,9.0
1990,20190614,2+,2-,2+,2-,2-,1,1-,1-,12,9,6,9,6,6.0,4.0,3.0,3.0,6.0
1991,20190615,0+,1,1+,1+,1-,1-,0,1-,6,2,4,5,5,3.0,3.0,0.0,3.0,3.0
1992,20190616,1,1+,1,0+,1-,1,1-,1-,7-,4,5,4,2,3.0,4.0,3.0,3.0,4.0
1993,20190617,0,0+,0+,1-,1,1-,0+,0,3+,0,2,2,3,4.0,3.0,2.0,0.0,2.0
1994,20190618,0+,0+,0+,0+,1+,1-,1,1-,5,2,2,2,2,5.0,3.0,4.0,3.0,3.0
1995,20190619,1-,0+,1-,1,1,1-,0+,1-,5+,3,2,3,4,4.0,3.0,2.0,3.0,3.0
1996,20190620,0+,2-,2+,2-,1,1,2,2+,12+,2,6,9,6,4.0,4.0,7.0,9.0,6.0
1997,20190621,1+,2-,1,1+,1+,1-,1+,2+,11,5,6,4,5,5.0,3.0,5.0,9.0,5.0
1998,20190622,1+,2-,1+,1-,0+,1-,0+,0,6+,5,6,5,3,2.0,3.0,2.0,0.0,3.0
1999,20190623,0,0,0+,1-,1+,1-,0+,0+,4-,0,0,2,3,5.0,3.0,2.0,2.0,2.0
2000,20190624,2-,2-,0+,1-,2-,1-,1+,1-,9-,6,6,2,3,6.0,3.0,5.0,3.0,4.0
2001,20190625,1-,0+,0+,1-,1,0+,1-,1+,5+,3,2,2,3,4.0,2.0,3.0,5.0,3.0
2002,20190626,2-,1+,2-,2-,1,1,0+,1+,10,6,5,6,6,4.0,4.0,2.0,5.0,5.0
2003,20190627,1+,1,0,0+,1,1-,1,1-,6,5,4,0,2,4.0,3.0,4.0,3.0,3.0
2004,20190628,2,1,0+,0+,1-,1-,1,1-,7-,7,4,2,2,3.0,3.0,4.0,3.0,4.0
2005,20190629,0+,0+,1-,0+,1-,1-,1-,1,5-,2,2,3,2,3.0,3.0,3.0,4.0,3.0
2006,20190630,2+,0+,0+,0+,1+,1-,0+,1,7-,9,2,2,2,5.0,3.0,2.0,4.0,4.0
2007,20190701,2+,3,2+,1+,2,1+,1+,2-,15+,9,15,9,5,7.0,5.0,5.0,6.0,8.0
2008,20190702,1+,1-,1,1,1+,2-,2,0+,9+,5,3,4,4,5.0,6.0,7.0,2.0,4.0
2009,20190703,0,0+,1+,1,1+,1+,1+,0,7-,0,2,5,4,5.0,5.0,5.0,0.0,3.0
2010,20190704,0,0+,0+,0+,2,1+,2+,2,9-,0,2,2,2,7.0,5.0,9.0,7.0,4.0
2011,20190705,2-,1-,1,1,2-,1-,0+,0+,7+,6,3,4,4,6.0,3.0,2.0,2.0,4.0
2012,20190706,1,1,1-,1-,0+,0+,0+,1-,5,4,4,3,3,2.0,2.0,2.0,3.0,3.0
2013,20190707,0+,1,1+,1,1,1-,1,2-,8,2,4,5,4,4.0,3.0,4.0,6.0,4.0
2014,20190708,2+,1+,1-,0,0+,1-,4-,3+,12+,9,5,3,0,2.0,3.0,22.0,18.0,8.0
2015,20190709,3,2+,2,2-,2-,3-,5,3+,22-,15,9,7,6,6.0,12.0,48.0,18.0,15.0
2016,20190710,2-,4+,5-,3+,2+,2,1,2-,21,6,32,39,18,9.0,7.0,4.0,6.0,15.0
2017,20190711,3-,2,3,1,1,1-,1-,0+,11+,12,7,15,4,4.0,3.0,3.0,2.0,6.0
2018,20190712,1-,1+,2,2-,1+,1-,1-,1,9+,3,5,7,6,5.0,3.0,3.0,4.0,4.0
2019,20190713,0+,1-,1,2-,2-,2,2+,1+,11,2,3,4,6,6.0,7.0,9.0,5.0,5.0
2020,20190714,2,1-,1-,0+,1-,1,2-,2+,9+,7,3,3,2,3.0,4.0,6.0,9.0,5.0
2021,20190715,3-,2-,1,2+,2-,1,2+,0+,13,12,6,4,9,6.0,4.0,9.0,2.0,6.0
2022,20190716,0+,1+,2-,1+,1,1,2-,1,9+,2,5,6,5,4.0,4.0,6.0,4.0,4.0
2023,20190717,1+,2+,1+,1,1+,1-,1,2-,11-,5,9,5,4,5.0,3.0,4.0,6.0,5.0
2024,20190718,0+,0,0+,1-,1,1,1-,1+,5+,2,0,2,3,4.0,4.0,3.0,5.0,3.0
2025,20190719,1-,0+,0+,1,1-,1-,1-,1,5+,3,2,2,4,3.0,3.0,3.0,4.0,3.0
2026,20190720,0,0,1-,0+,1-,0+,1-,0+,3,0,0,3,2,3.0,2.0,3.0,2.0,2.0
2027,20190721,0,1-,2-,1+,1,2-,3,4-,13,0,3,6,5,4.0,6.0,15.0,22.0,8.0
2028,20190722,2-,1+,2+,2+,2+,2-,2,1,15-,6,5,9,9,9.0,6.0,7.0,4.0,7.0
2029,20190723,1-,2,2,2-,2,1-,1-,2-,11+,3,7,7,6,7.0,3.0,3.0,6.0,5.0
2030,20190724,1,1,0,1-,1+,1+,1,1+,8-,4,4,0,3,5.0,5.0,4.0,5.0,4.0
2031,20190725,0+,0,0,0+,1,1-,0+,1-,3+,2,0,0,2,4.0,3.0,2.0,3.0,2.0
2032,20190726,0,0,0+,0+,0+,0+,0+,0+,2,0,0,2,2,2.0,2.0,2.0,2.0,2.0
2033,20190727,0+,0+,0+,1+,1-,1,2+,1+,8-,2,2,2,5,3.0,4.0,9.0,5.0,4.0
2034,20190728,1+,2-,1,1,1,1,1-,0+,8,5,6,4,4,4.0,4.0,3.0,2.0,4.0
2035,20190729,2-,2-,1+,0+,1,1+,0+,0+,8,6,6,5,2,4.0,5.0,2.0,2.0,4.0
2036,20190730,1+,0+,0,1-,3-,3+,2+,3-,13+,5,2,0,3,12.0,18.0,9.0,12.0,8.0
2037,20190731,3-,1+,3-,1+,1,1,2-,2,14-,12,5,12,5,4.0,4.0,6.0,7.0,7.0
2038,20190801,3+,2-,1+,1-,1-,1-,2-,3-,13-,18,6,5,3,3.0,3.0,6.0,12.0,7.0
2039,20190802,1,1,1,1-,1-,0+,0+,1-,6-,4,4,4,3,3.0,2.0,2.0,3.0,3.0
2040,20190803,0+,0+,0,0+,0+,0+,1-,0+,3-,2,2,0,2,2.0,2.0,3.0,2.0,2.0
2041,20190804,0+,0+,2-,1,0+,1-,0+,1,6-,2,2,6,4,2.0,3.0,2.0,4.0,3.0
2042,20190805,1-,3,5,5+,5+,5,4-,4-,32-,3,15,48,56,56.0,48.0,22.0,22.0,34.0
2043,20190806,3-,3-,2,3,2+,2,1,3-,18+,12,12,7,15,9.0,7.0,4.0,12.0,10.0
2044,20190807,2+,2-,1,1+,1,1,1,2,11+,9,6,4,5,4.0,4.0,4.0,7.0,5.0
2045,20190808,1+,2-,1+,1,3-,2,1,1-,12-,5,6,5,4,12.0,7.0,4.0,3.0,6.0
2046,20190809,0,1-,1+,2-,1+,2,2-,3-,11+,0,3,5,6,5.0,7.0,6.0,12.0,6.0
2047,20190810,3-,2-,1+,2-,2-,1,1+,2-,13,12,6,5,6,6.0,4.0,5.0,6.0,6.0
2048,20190811,0+,1,1,2-,2+,1,1,2,10+,2,4,4,6,9.0,4.0,4.0,7.0,5.0
2049,20190812,1-,1+,1,1+,1+,1,1,2-,9+,3,5,4,5,5.0,4.0,4.0,6.0,4.0
2050,20190813,2-,1+,1,2,2-,2,1+,2-,13-,6,5,4,7,6.0,7.0,5.0,6.0,6.0
2051,20190814,1,1,1,1+,1,1-,0+,0+,7-,4,4,4,5,4.0,3.0,2.0,2.0,4.0
2052,20190815,0,1-,1-,1-,1,1-,1+,1,6,0,3,3,3,4.0,3.0,5.0,4.0,3.0
2053,20190816,1+,1-,1+,2,1,1-,1-,0+,8,5,3,5,7,4.0,3.0,3.0,2.0,4.0
2054,20190817,1+,2,1-,1,1,1-,0+,0+,7+,5,7,3,4,4.0,3.0,2.0,2.0,4.0
2055,20190818,3-,2-,1+,1-,1-,1,1+,1,10+,12,6,5,3,3.0,4.0,5.0,4.0,5.0
2056,20190819,1-,1,0+,1-,1-,1,0+,1-,5+,3,4,2,3,3.0,4.0,2.0,3.0,3.0
2057,20190820,2-,1+,1-,1-,1+,1-,1-,1,8,6,5,3,3,5.0,3.0,3.0,4.0,4.0
2058,20190821,1,1+,1,0+,1-,1+,1,0+,7,4,5,4,2,3.0,5.0,4.0,2.0,4.0
2059,20190822,1+,1,1,1+,1-,1-,2+,2-,10,5,4,4,5,3.0,3.0,9.0,6.0,5.0
2060,20190823,1-,2-,1,1+,0+,0+,1-,1-,7-,3,6,4,5,2.0,2.0,3.0,3.0,4.0
2061,20190824,2,1+,0+,1+,0+,1,1-,0,7,7,5,2,5,2.0,4.0,3.0,0.0,4.0
2062,20190825,1,1,2-,0+,0+,0+,0+,1-,6-,4,4,6,2,2.0,2.0,2.0,3.0,3.0
2063,20190826,1+,0+,1,2,1,1,1+,2+,10+,5,2,4,7,4.0,4.0,5.0,9.0,5.0
2064,20190827,3-,3,2,3,2,2-,2+,2,19-,12,15,7,15,7.0,6.0,9.0,7.0,10.0
2065,20190828,2,2-,1+,1-,1,1-,1-,0+,8+,7,6,5,3,4.0,3.0,3.0,2.0,4.0
