,YYYYMMDD,Kp[8],,,,,,,,Sum,Ap[8],,,,,,,,Ap
105,20140416,0,0,1-,1,1+,0+,1-,2,6,0,0,3,4,5.0,2.0,3.0,7.0,3.0
106,20140417,3,3-,2-,1+,3-,4-,2+,1,18+,15,12,6,5,12.0,22.0,9.0,4.0,11.0
107,20140418,2-,2-,1-,1+,2,1+,2-,3-,13,6,6,3,5,7.0,5.0,6.0,12.0,6.0
108,20140419,4-,3+,2+,3-,3-,3,3,1+,22,22,18,9,12,12.0,15.0,15.0,5.0,14.0
109,20140420,3,2,1,4-,5,4,4+,4-,27-,15,7,4,22,48.0,27.0,32.0,22.0,22.0
110,20140421,4,4,3+,4-,3-,4,2-,1,24+,27,27,18,22,12.0,27.0,6.0,4.0,18.0
111,20140422,1,2-,1-,1-,0+,1+,0+,1-,7-,4,6,3,3,2.0,5.0,2.0,3.0,4.0
112,20140423,1-,1,1,2-,1+,2-,2,2,11+,3,4,4,6,5.0,6.0,7.0,7.0,5.0
113,20140424,3+,2-,3-,2,2+,3-,3-,3-,20,18,6,12,7,9.0,12.0,12.0,12.0,11.0
114,20140425,3+,3-,1-,1+,2,2,2,1+,15+,18,12,3,5,7.0,7.0,7.0,5.0,8.0
115,20140426,1-,2+,1+,1-,1,1,1,2-,10-,3,9,5,3,4.0,4.0,4.0,6.0,5.0
116,20140427,1,0+,0,0,1,1-,1-,2-,5+,4,2,0,0,4.0,3.0,3.0,6.0,3.0
117,20140428,1+,2+,1+,1+,1-,1-,0+,1+,9+,5,9,5,5,3.0,3.0,2.0,5.0,5.0
118,20140429,1-,0+,0,0+,1-,0+,1-,3+,6+,3,2,0,2,3.0,2.0,3.0,18.0,4.0
119,20140430,3-,3+,3+,3-,4,3,3+,1,23+,12,18,18,12,27.0,15.0,18.0,4.0,16.0
120,20140501,2,2+,1+,1-,1-,1-,1,0+,9,7,9,5,3,3.0,3.0,4.0,2.0,4.0
121,20140502,1-,2-,0+,0+,0+,0,0,0,3+,3,6,2,2,2.0,0.0,0.0,0.0,2.0
122,20140503,0,0+,0,0+,0,2,3-,3,8+,0,2,0,2,0.0,7.0,12.0,15.0,5.0
123,20140504,3-,4+,4-,2,3,2+,1+,1+,21-,12,32,22,7,15.0,9.0,5.0,5.0,13.0
124,20140505,1,3,2+,2,2+,2+,2+,2-,17,4,15,9,7,9.0,9.0,9.0,6.0,8.0
125,20140506,0+,1-,1-,1-,0+,0+,0,0,3,2,3,3,3,2.0,2.0,0.0,0.0,2.0
126,20140507,0,0,0,1-,1,0+,1-,2,5-,0,0,0,3,4.0,2.0,3.0,7.0,2.0
127,20140508,2+,3+,3+,5-,3-,4-,3,4,27,9,18,18,39,12.0,22.0,15.0,27.0,20.0
128,20140509,3,2-,3,2,0+,0+,0+,1-,11+,15,6,15,7,2.0,2.0,2.0,3.0,6.0
129,20140510,2-,3,1+,1,1-,1-,3-,3-,14-,6,15,5,4,3.0,3.0,12.0,12.0,8.0
130,20140511,4-,3,2-,3-,1+,2-,2,2+,18+,22,15,6,12,5.0,6.0,7.0,9.0,10.0
